trial 	RT  	Trial Start Time
1    	677 	1011
2    	338 	11202
3    	377 	15050
4    	375 	22935
5    	317 	25819
6    	313 	33643
7    	418 	44466
8    	333 	48390
9    	265 	59231
10   	340 	67001
11   	352 	77844
12   	429 	82703
13   	366 	90640
14   	374 	98512
15   	321 	102395
16   	330 	113227
17   	389 	118065
18   	309 	125959
19   	489 	128779
20   	302 	132775
21   	272 	140584
22   	322 	146366
23   	188 	152196
24   	282 	161889
25   	389 	164677
26   	296 	170574
27   	439 	173376
28   	370 	184323
29   	350 	193199
30   	355 	199059
31   	355 	208922
32   	386 	214788
33   	294 	221682
34   	364 	227483
35   	397 	233356
36   	363 	236263
37   	517 	241133
38   	525 	247157
39   	340 	253193
40   	331 	260041
41   	357 	265879
42   	415 	270746
43   	307 	277669
44   	306 	284485
45   	322 	289302
46   	357 	295134
47   	676 	300000
48   	325 	311180
49   	344 	318006
50   	322 	324860
51   	367 	327688
52   	339 	330563
53   	308 	338413
54   	366 	345232
55   	428 	354101
56   	438 	364036
57   	321 	372979
58   	301 	381810
59   	335 	391620
60   	619 	396465
61   	318 	404595
62   	357 	413418
63   	398 	416289
64   	389 	426199
65   	356 	434092
66   	333 	443955
67   	389 	446794
68   	393 	454686
69   	356 	457587
70   	357 	464453
71   	352 	471322
72   	353 	479186
73   	456 	490049
74   	407 	499014
75   	446 	505930
76   	346 	516883
77   	371 	524735
78   	427 	527616
79   	679 	536553
80   	433 	539738
81   	301 	547680
82   	357 	553491
83   	378 	556359
84   	408 	567247
85   	473 	572166
86   	404 	582149
87   	394 	591056
88   	382 	601961
89   	418 	611854
90   	514 	617773
91   	323 	628797
92   	463 	631626
93   	413 	635596
94   	377 	639519
95   	295 	650401
96   	379 	655203
97   	292 	665085
98   	345 	672879
99   	312 	683733
100  	827 	687555
101  	400 	693888
102  	355 	696798
103  	366 	704663
104  	384 	713535
105  	395 	717428
106  	341 	727327
107  	318 	738180
108  	366 	748009
109  	361 	757887
110  	467 	761756
111  	361 	767730
112  	920 	773604
113  	321 	785031
114  	357 	794860
115  	541 	801723
116  	540 	805773
117  	391 	809822
118  	371 	817723
119  	322 	828602
120  	350 	835432
121  	425 	843288
122  	447 	852224
123  	422 	860179
124  	340 	866108
125  	309 	873959
126  	331 	884775
127  	405 	892614
128  	392 	900527
129  	486 	906426
130  	537 	909423
131  	361 	916467
132  	411 	922335
133  	341 	933252
134  	379 	942104
135  	364 	951989
136  	488 	956857
137  	523 	966854
138  	445 	970885
139  	370 	979840
140  	593 	986721
141  	641 	992825
142  	318 	1003973
143  	404 	1009798
144  	426 	1015710
145  	321 	1024642
146  	328 	1033473
147  	501 	1042307
148  	302 	1053319
149  	562 	1056131
150  	576 	1060202
151  	359 	1071285
152  	535 	1078152
153  	567 	1087189
154  	313 	1097262
155  	395 	1108084
156  	778 	1114989
157  	373 	1124278
158  	1429 	1128157
159  	358 	1133092
160  	358 	1141951
161  	379 	1147817
162  	361 	1151706
163  	383 	1159575
164  	391 	1169465
165  	377 	1178359
166  	508 	1189244
167  	949 	1198260
168  	354 	1205718
169  	361 	1209583
170  	361 	1212455
171  	335 	1218323
172  	648 	1221162
173  	361 	1224322
174  	322 	1230192
175  	378 	1236022
176  	408 	1242911
177  	355 	1253825
178  	430 	1258684
179  	326 	1268622
180  	461 	1271455
181  	386 	1279427
182  	928 	1283325
183  	439 	1291762
184  	326 	1301708
185  	435 	1312545
186  	605 	1319486
187  	462 	1330596
188  	483 	1336568
189  	355 	1345561
190  	324 	1354427
191  	323 	1357261
192  	357 	1364092
193  	353 	1366960
194  	426 	1369814
195  	348 	1374752
196  	577 	1378610
197  	371 	1386694
198  	380 	1392572
199  	347 	1400455
200  	444 	1404309
201  	381 	1413264
202  	326 	1421156
203  	387 	1430994
204  	354 	1441891
205  	364 	1445754
206  	998 	1448629
207  	370 	1458133
208  	310 	1466010
209  	328 	1476830
210  	380 	1483669
211  	337 	1490560
212  	483 	1496403
213  	470 	1500393
214  	329 	1511374
215  	391 	1520209
216  	401 	1526111
217  	318 	1535022
218  	381 	1545846
219  	319 	1555735
220  	397 	1562565
221  	570 	1565470
222  	312 	1570551
223  	397 	1574369
224  	330 	1578273
225  	417 	1584113
226  	571 	1589033
227  	380 	1595113
228  	327 	1599999
229  	523 	1610833
230  	641 	1613867
231  	346 	1621017
232  	406 	1624870
233  	365 	1631786
234  	427 	1642654
235  	730 	1647590
236  	670 	1650826
237  	441 	1655004
238  	859 	1658954
239  	349 	1663325
240  	447 	1672183
241  	548 	1682139
242  	437 	1686193
243  	351 	1697140
244  	410 	1702992
245  	628 	1706905
246  	343 	1717042
247  	305 	1725896
248  	529 	1728713
249  	345 	1739747
250  	457 	1745603
251  	501 	1756571
252  	433 	1764578
253  	448 	1767515
254  	300 	1770471
255  	402 	1779281
256  	433 	1782194
257  	369 	1791133
258  	371 	1796011
259  	378 	1799892
260  	350 	1806778
261  	706 	1809638
262  	509 	1817855
263  	521 	1827870
264  	365 	1835901
265  	472 	1844777
266  	388 	1854755
267  	394 	1863652
268  	767 	1868552
269  	321 	1873830
270  	629 	1877657
271  	357 	1880794
272  	430 	1887657
273  	750 	1890592
274  	526 	1895848
275  	496 	1902880
276  	393 	1905887
277  	345 	1909791
278  	356 	1912644
279  	322 	1920508
280  	370 	1924340
281  	343 	1931216
282  	458 	1937070
283  	397 	1944035
284  	401 	1947935
285  	353 	1954847
286  	355 	1961707
287  	470 	1971574
288  	817 	1979553
289  	389 	1982876
290  	452 	1991770
291  	385 	1999728
292  	425 	2004624
