time	group	step	mark	flag	DigAux	A1 HbO	A1 Hb	A2 HbO	A2 Hb	A3 HbO	A3 Hb	A4 HbO	A4 Hb	B1 HbO	B1 Hb	B2 HbO	B2 Hb	B3 HbO	B3 Hb	B4 HbO	B4 Hb	

1582.695	1	1	0	131584	255	-0.0027905	0.0036049	-0.0018238	0.00070505	-0.00046656	0.00060273	-0.0018495	0.00071496	-0.0065634	0.0025373	0.0023344	-0.0030157	-0.0046796	0.001809	0.003138	-0.0040539	
1582.894	1	1	0	131072	255	-0.0027614	0.0035673	-0.0017906	0.00069221	-0.00053484	0.00069094	-0.0017409	0.00067298	-0.0066154	0.0025574	0.0022095	-0.0028544	-0.0046707	0.0018056	0.0028498	-0.0036815	
1583.019	1	1	0	131072	255	-0.0027831	0.0035954	-0.0018303	0.00070755	-0.0005122	0.00066168	-0.0018414	0.00071186	-0.0062515	0.0024167	0.0022619	-0.002922	-0.0046328	0.0017909	0.0029908	-0.0038637	
1583.169	1	1	0	131072	255	-0.0027924	0.0036073	-0.0018516	0.00071577	-0.00052194	0.00067427	-0.0018336	0.00070883	-0.0060553	0.0023408	0.0022165	-0.0028634	-0.0046302	0.0017899	0.0029186	-0.0037704	
1583.296	1	1	0	131072	255	-0.00281	0.0036301	-0.0018003	0.00069595	-0.000529	0.00068339	-0.0018011	0.00069625	-0.00624	0.0024122	0.0022661	-0.0029274	-0.0046326	0.0017909	0.0030195	-0.0039008	
1583.443	1	1	0	131072	255	-0.0028598	0.0036944	-0.0018661	0.0007214	-0.00051527	0.00066566	-0.0018581	0.00071831	-0.0064087	0.0024775	0.0023293	-0.0030091	-0.0046425	0.0017947	0.0031195	-0.00403	
1583.644	1	1	0	131072	255	-0.0028249	0.0036493	-0.0018918	0.00073134	-0.00050855	0.00065697	-0.0018513	0.00071567	-0.0062326	0.0024094	0.0023063	-0.0029795	-0.0045846	0.0017723	0.003058	-0.0039505	
1583.769	1	1	0	131072	255	-0.0028269	0.0036519	-0.0018225	0.00070453	-0.00055411	0.00071583	-0.0017425	0.00067362	-0.0061117	0.0023627	0.0022205	-0.0028685	-0.0045448	0.0017569	0.0029307	-0.003786	
1583.919	1	1	0	131072	255	-0.0028347	0.003662	-0.001775	0.00068617	-0.00056618	0.00073143	-0.0016949	0.00065522	-0.006034	0.0023326	0.0022229	-0.0028716	-0.0045068	0.0017422	0.0029293	-0.0037842	
1584.044	1	1	0	131072	255	-0.0028462	0.0036768	-0.0018051	0.00069779	-0.00052105	0.00067312	-0.001747	0.00067535	-0.0060959	0.0023565	0.0022221	-0.0028707	-0.0044837	0.0017333	0.0029882	-0.0038603	
1584.194	1	1	0	131072	255	-0.0028731	0.0037116	-0.0018209	0.00070393	-0.00048726	0.00062947	-0.001839	0.0007109	-0.0062933	0.0024328	0.0022528	-0.0029103	-0.0045198	0.0017473	0.0030959	-0.0039995	
1584.395	1	1	0	131072	255	-0.0028112	0.0036316	-0.0018907	0.00073088	-0.00046247	0.00059745	-0.001822	0.00070436	-0.0063447	0.0024527	0.0023321	-0.0030128	-0.004618	0.0017852	0.0032136	-0.0041515	
1584.520	1	1	0	131072	255	-0.0027452	0.0035464	-0.0018854	0.00072886	-0.00051275	0.0006624	-0.0017464	0.00067511	-0.0062867	0.0024303	0.0022552	-0.0029133	-0.0044733	0.0017293	0.0030477	-0.0039372	
1584.670	1	1	0	131072	255	-0.0027752	0.0035851	-0.0017673	0.00068321	-0.0005475	0.0007073	-0.0017385	0.00067206	-0.0056821	0.0021966	0.0021677	-0.0028003	-0.0043788	0.0016927	0.0028911	-0.0037349	
1584.819	1	1	0	131072	255	-0.0028162	0.0036381	-0.0017969	0.00069464	-0.00057743	0.00074595	-0.0016895	0.0006531	-0.0056472	0.0021831	0.0021562	-0.0027855	-0.0043418	0.0016784	0.0028802	-0.0037208	
1584.945	1	1	0	131072	255	-0.0028233	0.0036473	-0.0018338	0.0007089	-0.0005512	0.00071206	-0.0016659	0.00064399	-0.0061926	0.0023939	0.0021663	-0.0027986	-0.0043705	0.0016895	0.0029132	-0.0037634	
1585.144	1	1	0	131072	255	-0.0028218	0.0036454	-0.0018096	0.00069955	-0.00051185	0.00066124	-0.001738	0.00067187	-0.0060466	0.0023375	0.0022021	-0.0028448	-0.0044166	0.0017073	0.0029962	-0.0038706	
1585.269	1	1	0	131072	255	-0.002821	0.0036444	-0.0017805	0.00068831	-0.00052741	0.00068134	-0.0016867	0.00065203	-0.0057794	0.0022342	0.0021583	-0.0027882	-0.0043414	0.0016783	0.0029257	-0.0037796	
1585.419	1	1	0	131072	255	-0.0028376	0.0036658	-0.0017582	0.00067969	-0.00055322	0.00071468	-0.0016065	0.00062103	-0.005736	0.0022174	0.0020849	-0.0026934	-0.0042572	0.0016457	0.0028285	-0.003654	
1585.570	1	1	0	131072	255	-0.0028427	0.0036723	-0.0017489	0.00067609	-0.00057538	0.00074331	-0.0016246	0.00062805	-0.0059435	0.0022976	0.0020613	-0.0026628	-0.0042447	0.0016409	0.0028018	-0.0036195	
1585.694	1	1	0	131072	255	-0.0028459	0.0036765	-0.0017275	0.0006678	-0.00057797	0.00074666	-0.0016062	0.00062093	-0.0061357	0.0023719	0.002078	-0.0026845	-0.0042509	0.0016433	0.0028147	-0.0036361	
1585.894	1	1	0	131072	255	-0.0028748	0.0037138	-0.0017409	0.00067298	-0.00053984	0.00069739	-0.0016505	0.00063803	-0.0063014	0.002436	0.0021276	-0.0027486	-0.004265	0.0016487	0.0029013	-0.003748	
1586.046	1	1	0	131072	255	-0.0028336	0.0036606	-0.0017258	0.00066715	-0.00055114	0.00071199	-0.0015758	0.00060915	-0.0062153	0.0024027	0.0021236	-0.0027434	-0.0042179	0.0016306	0.0028835	-0.0037251	
1586.170	1	1	0	131072	255	-0.0028071	0.0036264	-0.0016825	0.0006504	-0.00056289	0.00072717	-0.0015547	0.000601	-0.0059678	0.002307	0.0020235	-0.0026141	-0.0041736	0.0016134	0.0027318	-0.0035291	
1586.321	1	1	0	131072	255	-0.0028509	0.003683	-0.0016683	0.00064493	-0.00056956	0.00073579	-0.0016054	0.00062059	-0.0062441	0.0024138	0.0019884	-0.0025687	-0.0041595	0.001608	0.0026697	-0.0034488	
1586.445	1	1	0	131072	255	-0.0028827	0.003724	-0.0016781	0.00064873	-0.00056453	0.00072929	-0.0015887	0.00061417	-0.0062342	0.00241	0.001983	-0.0025617	-0.0042128	0.0016286	0.0027116	-0.003503	
1586.645	1	1	0	131072	255	-0.0028985	0.0037444	-0.0016979	0.00065637	-0.00055441	0.00071621	-0.0016072	0.00062131	-0.0063809	0.0024667	0.002003	-0.0025875	-0.0043153	0.0016682	0.0027607	-0.0035664	
1586.795	1	1	0	131072	255	-0.0028322	0.0036588	-0.0017459	0.00067491	-0.00054546	0.00070466	-0.0015621	0.00060386	-0.0067109	0.0025943	0.002044	-0.0026406	-0.0042714	0.0016512	0.0028377	-0.0036659	
1586.920	1	1	0	131072	255	-0.002887	0.0037295	-0.0016668	0.00064434	-0.00058511	0.00075588	-0.0014838	0.00057361	-0.0060266	0.0023297	0.0019282	-0.002491	-0.0041526	0.0016053	0.0026293	-0.0033966	
1587.070	1	1	0	131072	255	-0.002877	0.0037166	-0.0016536	0.00063923	-0.00062567	0.00080827	-0.0014652	0.00056642	-0.0060508	0.0023391	0.0018655	-0.0024099	-0.0041103	0.0015889	0.0024961	-0.0032246	
1587.195	1	1	0	131072	255	-0.0028559	0.0036894	-0.0016254	0.00062835	-0.00062166	0.00080309	-0.0014229	0.00055007	-0.0062037	0.0023982	0.0018465	-0.0023854	-0.0040659	0.0015718	0.0024695	-0.0031902	
1587.395	1	1	0	131072	255	-0.0029017	0.0037485	-0.0016023	0.0006194	-0.00063178	0.00081617	-0.0013983	0.00054056	-0.0060046	0.0023212	0.0018384	-0.0023749	-0.0040823	0.0015781	0.0025369	-0.0032774	
1587.546	1	1	0	131072	255	-0.002877	0.0037167	-0.001686	0.00065176	-0.0006261	0.00080883	-0.0015142	0.00058534	-0.0061132	0.0023632	0.0018909	-0.0024427	-0.0041048	0.0015868	0.0026323	-0.0034006	
1587.671	1	1	0	131072	255	-0.0027815	0.0035933	-0.0017585	0.00067978	-0.00059477	0.00076836	-0.0015622	0.0006039	-0.0060982	0.0023574	0.001971	-0.0025462	-0.0041495	0.0016041	0.0027438	-0.0035446	
1587.821	1	1	0	131072	255	-0.0028525	0.003685	-0.0017216	0.00066553	-0.00063138	0.00081564	-0.0014812	0.00057259	-0.0060321	0.0023319	0.0018984	-0.0024524	-0.0040182	0.0015533	0.0025487	-0.0032926	
1587.946	1	1	0	131072	255	-0.0028775	0.0037173	-0.0016748	0.00064745	-0.00066242	0.00085575	-0.0013645	0.00052749	-0.0062087	0.0024001	0.0017706	-0.0022873	-0.0039784	0.001538	0.0024081	-0.0031109	
1588.146	1	1	0	131072	255	-0.0029119	0.0037618	-0.0016315	0.00063071	-0.00068282	0.0008821	-0.0013491	0.00052151	-0.0063095	0.0024391	0.0017218	-0.0022243	-0.0039291	0.0015189	0.0023741	-0.003067	
1588.296	1	1	0	131072	255	-0.0029147	0.0037654	-0.001602	0.00061931	-0.00068121	0.00088002	-0.0013991	0.00054088	-0.0061407	0.0023738	0.0017176	-0.0022189	-0.003976	0.001537	0.0023947	-0.0030936	
1588.420	1	1	0	131072	255	-0.0028839	0.0037255	-0.001624	0.0006278	-0.00063224	0.00081676	-0.0014578	0.00056355	-0.0062624	0.0024209	0.0017519	-0.0022632	-0.0040462	0.0015642	0.0024888	-0.0032152	
1588.571	1	1	0	131072	255	-0.0028579	0.003692	-0.0017031	0.00065838	-0.00059511	0.0007688	-0.0015396	0.00059517	-0.006386	0.0024687	0.0018167	-0.0023469	-0.0040907	0.0015814	0.0026132	-0.0033758	
