trial 	RT  	Trial Start Time
1    	402 	1020
2    	442 	6931
3    	359 	16885
4    	568 	25755
5    	357 	32834
6    	731 	40698
7    	329 	51940
8    	360 	57779
9    	346 	66646
10   	408 	71504
11   	287 	81423
12   	513 	84222
13   	292 	93246
14   	294 	101044
15   	293 	107849
16   	314 	114651
17   	331 	120475
18   	302 	129315
19   	315 	140128
20   	343 	145954
21   	373 	156808
22   	353 	167689
23   	311 	177551
24   	330 	188372
25   	349 	197214
26   	443 	200072
27   	303 	210020
28   	433 	216830
29   	398 	222769
30   	322 	225678
31   	319 	228511
32   	323 	239341
33   	310 	249174
34   	432 	253995
35   	321 	257938
36   	337 	262763
37   	302 	271609
38   	402 	274421
39   	330 	282334
40   	414 	289175
41   	362 	292099
42   	343 	301971
43   	369 	305825
44   	397 	315705
45   	357 	320608
46   	361 	327476
47   	350 	334344
48   	331 	340203
49   	338 	350042
50   	319 	355886
51   	347 	360716
52   	338 	367569
53   	478 	377418
54   	352 	380407
55   	382 	385266
56   	344 	390159
57   	320 	397015
58   	399 	403845
59   	357 	414754
60   	361 	425622
61   	388 	433493
62   	331 	442392
63   	368 	445228
64   	347 	453102
65   	342 	463954
66   	342 	474806
67   	338 	485660
68   	344 	496504
69   	424 	505359
70   	1143 	509295
71   	374 	516946
72   	395 	519829
73   	334 	528736
74   	355 	531579
75   	345 	540443
76   	361 	547292
77   	338 	555163
78   	376 	566009
79   	382 	573897
80   	345 	577790
81   	426 	586640
82   	387 	591575
83   	319 	601466
84   	415 	606290
85   	401 	616216
86   	393 	620120
87   	387 	629021
88   	376 	635920
89   	380 	644803
90   	356 	651695
91   	382 	662556
92   	404 	665446
93   	434 	668362
94   	327 	676306
95   	359 	687140
96   	336 	697006
97   	381 	704850
98   	408 	712735
99   	440 	716647
100  	365 	722593
101  	442 	728468
102  	404 	733414
103  	357 	742327
104  	369 	751193
105  	422 	754067
106  	446 	763997
107  	367 	769948
108  	385 	776821
109  	419 	780716
110  	375 	786643
111  	360 	796529
112  	409 	800400
113  	360 	809319
114  	359 	817185
115  	368 	825053
116  	474 	832928
117  	403 	840914
118  	440 	845819
119  	403 	856771
120  	372 	862682
121  	396 	866561
122  	574 	871464
123  	387 	882545
124  	402 	889440
125  	412 	892350
126  	432 	895265
127  	403 	904204
128  	338 	912116
129  	381 	916960
130  	357 	925852
131  	377 	934720
132  	422 	941608
133  	362 	944542
134  	400 	947415
135  	486 	951326
136  	339 	957320
137  	404 	963166
138  	355 	971078
139  	393 	973945
140  	362 	980849
141  	448 	985722
142  	356 	995681
143  	469 	1000544
144  	440 	1006524
145  	410 	1009475
146  	368 	1016396
147  	350 	1027273
148  	395 	1032133
149  	404 	1037037
150  	355 	1047952
151  	403 	1053815
152  	387 	1056727
153  	510 	1061619
154  	397 	1064636
155  	356 	1067541
156  	549 	1073404
157  	342 	1084465
158  	413 	1095313
159  	347 	1104234
160  	393 	1108092
161  	392 	1112993
162  	462 	1120891
163  	378 	1131862
164  	354 	1134750
165  	394 	1141612
166  	355 	1152516
167  	410 	1157381
168  	417 	1161301
169  	358 	1172225
170  	359 	1179089
171  	343 	1183953
172  	385 	1186807
173  	322 	1193698
174  	341 	1203528
175  	368 	1213380
176  	416 	1219253
177  	395 	1228177
178  	371 	1236083
179  	425 	1243960
180  	392 	1249895
181  	293 	1255797
182  	355 	1265600
183  	362 	1270464
184  	374 	1277337
185  	386 	1283220
186  	394 	1288111
187  	358 	1299014
188  	445 	1303878
189  	379 	1312833
190  	406 	1318719
191  	445 	1322635
192  	380 	1327588
193  	387 	1330477
194  	348 	1333371
195  	429 	1343226
196  	340 	1349163
197  	392 	1354009
198  	381 	1358909
199  	333 	1362797
200  	384 	1369640
201  	361 	1376535
202  	350 	1379402
203  	389 	1385259
204  	364 	1392156
205  	405 	1397026
206  	374 	1405941
207  	373 	1415826
208  	409 	1419710
209  	453 	1425631
210  	403 	1430592
211  	377 	1437504
212  	399 	1446391
213  	490 	1451300
214  	472 	1461301
215  	363 	1465283
216  	392 	1476154
217  	355 	1485055
218  	435 	1492916
219  	366 	1502856
220  	363 	1513731
221  	409 	1516604
222  	430 	1521525
223  	373 	1527464
224  	362 	1534343
225  	380 	1541216
226  	309 	1552102
227  	342 	1559922
228  	377 	1563775
229  	493 	1566660
230  	411 	1572660
231  	427 	1582578
232  	419 	1587514
233  	371 	1593443
234  	466 	1602324
235  	370 	1612299
236  	446 	1622181
237  	362 	1630133
238  	382 	1641006
239  	433 	1645899
240  	522 	1648843
241  	363 	1655875
242  	408 	1659750
243  	408 	1669669
244  	369 	1676584
245  	391 	1682461
246  	475 	1685359
247  	521 	1694344
248  	329 	1698377
249  	311 	1709212
250  	333 	1716034
251  	476 	1725878
252  	406 	1728861
253  	354 	1739773
254  	389 	1742634
255  	373 	1746531
256  	339 	1751413
257  	348 	1760263
258  	356 	1766120
259  	385 	1775986
260  	348 	1785881
261  	355 	1791738
262  	320 	1798604
263  	345 	1802435
264  	332 	1812287
265  	356 	1816127
266  	317 	1821994
267  	363 	1831819
268  	388 	1838691
269  	332 	1842587
270  	318 	1848430
271  	351 	1856255
272  	347 	1859115
273  	336 	1862969
274  	337 	1873814
275  	428 	1878660
276  	339 	1881598
277  	302 	1890448
278  	353 	1894262
279  	308 	1897123
280  	352 	1907938
281  	368 	1912793
282  	327 	1922672
283  	330 	1931511
284  	340 	1936345
285  	344 	1947191
286  	363 	1957041
287  	275 	1967916
288  	442 	1971699
289  	304 	1979649
290  	382 	1986458
291  	322 	1996348
292  	446 	2002177
293  	534 	2010127
294  	313 	2013172
295  	390 	2016993
296  	334 	2019892
297  	336 	2024733
298  	297 	2028576
299  	394 	2039380
300  	418 	2047284
301  	360 	2052213
302  	336 	2057084
303  	306 	2064926
304  	343 	2069737
305  	340 	2077588
306  	409 	2082438
307  	334 	2093358
308  	449 	2102200
309  	683 	2106157
310  	387 	2115351
311  	333 	2121245
312  	430 	2126086
313  	333 	2134024
314  	352 	2137861
315  	369 	2142720
316  	315 	2145599
317  	300 	2154420
318  	368 	2165230
319  	397 	2175107
320  	429 	2179010
321  	383 	2186947
322  	372 	2190838
323  	426 	2197717
324  	337 	2201654
325  	358 	2204498
326  	335 	2214359
327  	398 	2223201
328  	439 	2230106
329  	413 	2237056
330  	384 	2245975
331  	438 	2253867
332  	403 	2258814
333  	349 	2261724
334  	337 	2264584
335  	386 	2274432
336  	341 	2278324
337  	348 	2281173
338  	309 	2290028
339  	410 	2292847
340  	446 	2296767
